figure,panel,endpoint,planned_mouse_slot,group,planned_n,measured,included_in_analysis,exclusion_or_missing_reason,notes,selection_status,missing_reason,exclusion_status
Figure 9,A,GART+Ki67+ cells (%),CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+Ki67+ cells (%),CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+Ki67+ cells (%),DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+Ki67+ cells (%),DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+Ki67+ cells (%),DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+Ki67+ cells (%),DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+Ki67+ cells (%),DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+Ki67+ cells (%),DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+MYBL2+Ki67+ cells (%),DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,Ki67+ cells (%),CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,Ki67+ cells (%),CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,Ki67+ cells (%),CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,Ki67+ cells (%),CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,Ki67+ cells (%),CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,Ki67+ cells (%),CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,Ki67+ cells (%),DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,Ki67+ cells (%),DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,Ki67+ cells (%),DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,Ki67+ cells (%),DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,Ki67+ cells (%),DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,Ki67+ cells (%),DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,MYBL2 nuclear MFI,CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,MYBL2 nuclear MFI,CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,MYBL2 nuclear MFI,CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,MYBL2 nuclear MFI,CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,MYBL2 nuclear MFI,CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,MYBL2 nuclear MFI,CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,MYBL2 nuclear MFI,DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,MYBL2 nuclear MFI,DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,MYBL2 nuclear MFI,DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,MYBL2 nuclear MFI,DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,MYBL2 nuclear MFI,DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,MYBL2 nuclear MFI,DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+ among EPCAM+ epithelial cells,DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% GART+OLFM4+ double-positive among EPCAM+ cells,DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,% OLFM4+ among EPCAM+ epithelial cells,DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART MFI in EPCAM+ crypt epithelium,DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,GART+OLFM4+EPCAM+ cells / estimated crypt ROI,DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,OLFM4 MFI in EPCAM+ crypt epithelium,CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,OLFM4 MFI in EPCAM+ crypt epithelium,CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,OLFM4 MFI in EPCAM+ crypt epithelium,CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,B,OLFM4 MFI in EPCAM+ crypt epithelium,CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,OLFM4 MFI in EPCAM+ crypt epithelium,CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,B,OLFM4 MFI in EPCAM+ crypt epithelium,CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
