"gene","logFC","SE","CI_low","CI_high","raw_P","FDR","n_paired_donors","cell_threshold","model","plot_class","minus_log10_FDR","labelled_gene","displayed_in_volcano","analysis_type","effect","P","effect_definition","selection_display_rule"
"PUSL1",0.348621272737075,0.0921335307440968,0.168039552478645,0.529202992995505,0.000154408700378632,0.00256832158731402,11,20,"edgeR QL; design ~ donor_id + GART_status","FDR <0.05, positive",2.59035059787277,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.348621272737075,0.000154408700378632,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"DVL1",0.0328563412381502,0.0673361025189269,-0.0991224196989466,0.164835102175247,0.625588518225773,0.764964257228486,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.116358856677863,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0328563412381502,0.625588518225773,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"AURKAIP1",0.0922536336917324,0.0431389040380629,0.00770138177712919,0.176805885606336,0.032474140525111,0.102205786995722,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.99052451330937,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0922536336917324,0.032474140525111,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"CCNL2",-0.0410821139056983,0.0622891648179252,-0.163168876948832,0.0810046491374351,0.509549912439914,0.676211059855023,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.16991773035415,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0410821139056983,0.509549912439914,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"MRPL20",0.0762819883070887,0.0394134810362094,-0.000968434523881734,0.153532411138059,0.0529376917832722,0.146004102564956,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.83563494081632,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0762819883070887,0.0529376917832722,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"VWA1",-0.220026321217215,0.0870236163210352,-0.390592609206444,-0.0494600332279862,0.0114599440887417,0.0492913553820775,11,20,"edgeR QL; design ~ donor_id + GART_status","FDR <0.05, negative",1.30722923972996,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.220026321217215,0.0114599440887417,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"ATAD3B",0.312672790934363,0.0858149779215417,0.144475434208141,0.480870147660585,0.000268883556124007,0.00370340966578151,11,20,"edgeR QL; design ~ donor_id + GART_status","FDR <0.05, positive",2.43139824427041,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.312672790934363,0.000268883556124007,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"ATAD3A",0.369224623223457,0.0840023276892448,0.204580060952537,0.533869185494377,1.10564157288303e-05,0.000461604194228728,11,20,"edgeR QL; design ~ donor_id + GART_status","FDR <0.05, positive",3.33573025374722,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.369224623223457,1.10564157288303e-05,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"SSU72",-0.00272829401327651,0.0420011471767893,-0.0850505424797835,0.0795939544532305,0.948207753616762,0.972478635544991,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.0121199309450188,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.00272829401327651,0.948207753616762,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"MIB2",0.0362962837223983,0.0568270718192867,-0.0750847770434037,0.1476773444882,0.523008575541211,0.687415902293027,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.162780425358195,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0362962837223983,0.523008575541211,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"CDK11B",0.104326931229816,0.0702918269894443,-0.0334450496694953,0.242098912129126,0.137756618337776,0.284624144689929,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.545728261451908,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.104326931229816,0.137756618337776,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"SLC35E2B",-0.116048688919025,0.0799764866880901,-0.272802602827682,0.0407052249896314,0.146770088151987,0.297645077722876,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.526301295156472,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.116048688919025,0.146770088151987,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"CDK11A",-0.105335969894732,0.17351465591996,-0.445424695497854,0.23475275570839,0.543802822500094,0.705832073227689,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.151298611052101,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.105335969894732,0.543802822500094,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"NADK",-0.0542233970327519,0.0664022312404021,-0.18437177026394,0.0759249761984362,0.414162780131044,0.592965030050039,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.226970918278442,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0542233970327519,0.414162780131044,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"GNB1",-0.0739570721288794,0.0603617944546979,-0.192266189260087,0.0443520450023284,0.220488632159914,0.390431144044655,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.408455546673218,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0739570721288794,0.220488632159914,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"TMEM52",0.175334378792374,0.140997363054925,-0.101020452795279,0.451689210380028,0.213672781322486,0.382669787097926,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.417175825245116,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.175334378792374,0.213672781322486,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"PRKCZ",-0.0813064898416511,0.0755655402491329,-0.229414948729952,0.0668019690466493,0.281939279718994,0.461038202351487,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.336263086794633,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0813064898416511,0.281939279718994,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"SKI",-0.0467642606414628,0.100397415130228,-0.243543194296709,0.150014673013783,0.641364763774848,0.775335977203992,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.110510063394541,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0467642606414628,0.641364763774848,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"MORN1",0.168453420228685,0.166208080239752,-0.157314417041228,0.494221257498598,0.310816998845234,0.492565179078058,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.307536293001931,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.168453420228685,0.310816998845234,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"RER1",0.0843987242445819,0.052211608531007,-0.0179360284761918,0.186733476965356,0.105991801852026,0.238244525018709,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.622977070884742,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0843987242445819,0.105991801852026,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"PEX10",0.0832784144662983,0.100113657399205,-0.112944354036144,0.27950118296874,0.405499997297252,0.584883787169381,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.232930417003001,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0832784144662983,0.405499997297252,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"PANK4",0.15792686118382,0.150013888649239,-0.136100360568689,0.451954082936329,0.292456381051612,0.473210087336462,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.324946006166108,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.15792686118382,0.292456381051612,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"TNFRSF14",-0.14326042361287,0.0558686053143982,-0.25276289002909,-0.0337579571966492,0.0103402491404041,0.0458981279972359,11,20,"edgeR QL; design ~ donor_id + GART_status","FDR <0.05, negative",1.3382050272525,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.14326042361287,0.0103402491404041,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"FAM213B",-0.158403850377186,0.0693753239002481,-0.294379485221672,-0.0224282155326993,0.0224134044698102,0.0788679564296172,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",1.10309941215786,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.158403850377186,0.0224134044698102,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"MMEL1",-0.233272780009013,0.109056100436001,-0.447022736863574,-0.019522823154451,0.0324343456428442,0.102137744656746,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.990813736199924,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.233272780009013,0.0324343456428442,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"ARHGEF16",-0.0175767058044387,0.0675439812526184,-0.149962909059571,0.114809497450693,0.794689384300073,0.881863545630779,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.0545986098389583,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0175767058044387,0.794689384300073,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"TPRG1L",-0.0511492987103506,0.068879472431526,-0.186153064676142,0.0838544672554404,0.457729142109454,0.631604398792898,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.19955485402025,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0511492987103506,0.457729142109454,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"WRAP73",0.0500400597418866,0.0874040977314762,-0.121271971811807,0.22135209129558,0.566973880411311,0.722555782054964,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.141128619293205,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0500400597418866,0.566973880411311,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"LRRC47",0.0775421454551212,0.0733334698220357,-0.0661914553960689,0.221275746306311,0.290333211717887,0.470384167002643,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.327547304914716,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0775421454551212,0.290333211717887,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"CEP104",-0.135140748616111,0.0832723566609561,-0.298354567671585,0.0280730704393633,0.104615813489891,0.235863014606396,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.627340154967148,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.135140748616111,0.104615813489891,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"DFFB",0.065490483351595,0.134583841534825,-0.198293846056662,0.329274812759852,0.626531363792459,0.765472714864393,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.116070285037596,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.065490483351595,0.626531363792459,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"C1orf174",0.022487474221793,0.0777378062831989,-0.129878626093277,0.174853574536863,0.772372218566676,0.86655743293007,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.062202648209127,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.022487474221793,0.772372218566676,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"NPHP4",0.281342614987816,0.173515904405477,-0.0587485576469186,0.62143378762255,0.104927029545674,0.236375002017204,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.626398454440672,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.281342614987816,0.104927029545674,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"RPL22",0.0596753870005324,0.0583335527715508,-0.0546583764317072,0.174009150432772,0.306306528577371,0.488062260075463,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.311524773320028,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.0596753870005324,0.306306528577371,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"RNF207",0.106455268206184,0.111486185816357,-0.112057655993876,0.324968192406244,0.339641383150074,0.520858583266601,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.283280174673056,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.106455268206184,0.339641383150074,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"ICMT",0.152915244233356,0.0673916966284843,0.0208275188415266,0.285002969625185,0.0232651816945171,0.0808400481359674,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",1.09237343655729,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.152915244233356,0.0232651816945171,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"GPR153",-0.370446794211136,0.145779953144467,-0.656175502374291,-0.084718086047981,0.0110492698511253,0.0479470053501147,11,20,"edgeR QL; design ~ donor_id + GART_status","FDR <0.05, negative",1.31923851259205,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.370446794211136,0.0110492698511253,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"ACOT7",0.146096555567046,0.0598045383573532,0.0288796603866342,0.263313450747459,0.0145697408248207,0.0583306958508017,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",1.23410284266203,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",0.146096555567046,0.0145697408248207,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
"HES2",-0.0973117396399502,0.0935923942504396,-0.280752832370812,0.0861293530909113,0.298460792659273,0.479817028851033,11,20,"edgeR QL; design ~ donor_id + GART_status","Not FDR-significant",0.318924342852556,FALSE,TRUE,"SCP259 paired-donor edgeR quasi-likelihood pseudobulk",-0.0973117396399502,0.298460792659273,"log2 fold change: GART-detected minus GART-undetected","All genes except GART displayed; color by within-run FDR<0.05 and logFC direction; labels restricted to at most 8 genes from the pre-specified candidate pool, ordered by frozen FDR. GART omitted from the volcano display because it defines the compared groups but remains in source data."
