"gene","seed","rank","distance"
"MKI67IP",1234,311,1.40574164289336e-08
"GAS5",1234,312,1.40487204331959e-08
"EBPL",1234,313,1.40030167246256e-08
"RNASEH2A",1234,314,1.39771826002012e-08
"EIF3F",1234,315,1.39610322076846e-08
"FAU",1234,316,1.39560720107065e-08
"PPIA",1234,317,1.39294164176551e-08
"CLDN7",1234,318,1.38892032355424e-08
"MRPL51",1234,319,1.38886138038411e-08
"DYNLL1",1234,320,1.38702189027122e-08
"TAGLN2",1234,321,1.37712713006509e-08
"CBR1",1234,322,1.37493854341532e-08
"SSR3",1234,323,1.37190636268234e-08
"ADRM1",1234,324,1.37133913553211e-08
"VPS25",1234,325,1.37093198130238e-08
"NDUFC2",1234,326,1.36637725066232e-08
"COPS6",1234,327,1.35342614846853e-08
"NDUFB8",1234,328,1.35222108375078e-08
"SEC11C",1234,329,1.35120986884777e-08
"LAMTOR5",1234,330,1.35103832167455e-08
"EIF3M",1234,331,1.34869995303382e-08
"ILF2",1234,332,1.34424171905969e-08
"SH3BGRL3",1234,333,1.34411734912986e-08
"MCM6",1234,334,1.34023226387989e-08
"SRSF3",1234,335,1.33431086298354e-08
"MRPL55",1234,336,1.33105999113048e-08
"ECI1",1234,337,1.33011218403134e-08
"C17orf89",1234,338,1.32707662384737e-08
"LRRC59",1234,339,1.32573787481191e-08
"CCT3",1234,340,1.32023157163561e-08
"NDUFA9",1234,341,1.31556068882128e-08
"TUBA1C",1234,342,1.31299403811973e-08
"BCAP31",1234,343,1.3122136426778e-08
"EPHB2",1234,344,1.31102246506881e-08
"NEDD8",1234,345,1.30642838400694e-08
"HSPBP1",1234,346,1.30624892302634e-08
"PSME2",1234,347,1.30499867233157e-08
"DANCR",1234,348,1.30457682965794e-08
"NUCB2",1234,349,1.30391517522877e-08
"IFI27",1234,350,1.30203728938116e-08
"GPX4",1234,351,1.30077571527577e-08
"MZT2A",1234,352,1.29474107489209e-08
"AURKAIP1",1234,353,1.2943660592938e-08
"MRPS15",1234,354,1.28785540375651e-08
"MAGOHB",1234,355,1.27732633473878e-08
"RBM8A",1234,356,1.27230065633601e-08
"NDUFB11",1234,357,1.27052596886188e-08
"CUTA",1234,358,1.27020342764873e-08
"BZW2",1234,359,1.27019754322507e-08
"NOP58",1234,360,1.27017326828594e-08
"SLC25A5",1234,361,1.26848615109481e-08
"GALE",1234,362,1.26533359789729e-08
"NANS",1234,363,1.26491816014982e-08
"C11orf86",1234,364,1.26228620955328e-08
"EIF2S2",1234,365,1.26111572637757e-08
"HMBS",1234,366,1.25835684947551e-08
"SNHG8",1234,367,1.25753958741274e-08
"C16orf13",1234,368,1.25628843728163e-08
"FIS1",1234,369,1.25622196964335e-08
"ATP5O",1234,370,1.25430382923494e-08
"TUFM",1234,371,1.25292615452681e-08
"PCK2",1234,372,1.2513162800865e-08
"SPCS2",1234,373,1.25051503977978e-08
"HMGN3",1234,374,1.25043415300288e-08
"TPI1",1234,375,1.24945892917446e-08
"PSMB7",1234,376,1.2455159696035e-08
"CLCA4",1234,377,1.24438068170701e-08
"HNRNPA2B1",1234,378,1.2391053680066e-08
"EIF3D",1234,379,1.23821494258801e-08
"KIAA0101",1234,380,1.2316329631079e-08
"PSMD8",1234,381,1.22863050559607e-08
"CA4",1234,382,1.22744458758924e-08
"PSMB2",1234,383,1.22654751539981e-08
"ANP32B",1234,384,1.22367828059283e-08
"TK1",1234,385,1.22262912287186e-08
"PSMD7",1234,386,1.21749650415906e-08
"SNRPD3",1234,387,1.21733846381966e-08
"PSMD13",1234,388,1.21340528586016e-08
"NUDT5",1234,389,1.2128044285389e-08
"WDR61",1234,390,1.20677030017896e-08
"FABP1",1234,391,1.20591357694799e-08
"ATP5G3",1234,392,1.20454459306641e-08
"MTX1",1234,393,1.1980924160625e-08
"CCDC124",1234,394,1.19652579484199e-08
"AHCY",1234,395,1.1954438687873e-08
"COL17A1",1234,396,1.19439364334656e-08
"PTGES3",1234,397,1.18833649645669e-08
"OAZ1",1234,398,1.18659901815393e-08
"ZNF511",1234,399,1.18657913864122e-08
"DDX39A",1234,400,1.18002094983978e-08
"PDIA3",1234,401,1.17712289414572e-08
"UBE2T",1234,402,1.16521116096286e-08
"MLEC",1234,403,1.16509188594988e-08
"EPHB3",1234,404,1.16373035535907e-08
"GPX1",1234,405,1.16227676816854e-08
"EEF1D",1234,406,1.16064945687258e-08
"TRIM40",1234,407,1.15911326550978e-08
"MRPL4",1234,408,1.15535442087022e-08
"MRPL14",1234,409,1.15493294508878e-08
"PMEPA1",1234,410,1.15477135965744e-08
"GCSH",1234,411,1.15430376789487e-08
"ZFP36L2",1234,412,1.1508255216799e-08
"PFKFB3",1234,413,1.1497409383199e-08
"FKBP4",1234,414,1.1477623488684e-08
"RP11-294O2.2",1234,415,1.14661222372906e-08
"NDUFB9",1234,416,1.14392701571892e-08
"IDH2",1234,417,1.14212077398297e-08
"XRCC6",1234,418,1.14167126764459e-08
"GBP2",1234,419,1.14145072475402e-08
"SLC6A14",1234,420,1.14084852654635e-08
"HPGD",1234,421,1.13709326340227e-08
"MCM3",1234,422,1.1369498646323e-08
"CDHR2",1234,423,1.13646733716083e-08
"SELK",1234,424,1.13405567013967e-08
"IGJ",1234,425,1.13330176026696e-08
"CIB1",1234,426,1.13249651366134e-08
"TOMM7",1234,427,1.13248487843352e-08
"TMEM97",1234,428,1.1311098188616e-08
"POP5",1234,429,1.12935052719224e-08
"VCP",1234,430,1.12856836783571e-08
"LSM5",1234,431,1.12855388884247e-08
"CCDC58",1234,432,1.12084955857035e-08
"SAMD9",1234,433,1.11786246559289e-08
"SMIM5",1234,434,1.11323857097959e-08
"C19orf70",1234,435,1.11078725704036e-08
"ISG15",1234,436,1.1103229181345e-08
"HELLS",1234,437,1.10957654021925e-08
"LSM7",1234,438,1.10802480360655e-08
"COMTD1",1234,439,1.10765250070046e-08
"NUCKS1",1234,440,1.106707632025e-08
"SIGMAR1",1234,441,1.10600337591798e-08
"TARS",1234,442,1.10524920133763e-08
"SERPINB6",1234,443,1.10397474563709e-08
"CCT4",1234,444,1.09927666971379e-08
"LINC00035",1234,445,1.09893080025927e-08
"EIF1AX",1234,446,1.09853181797085e-08
"CALM1",1234,447,1.09773515955958e-08
"REPIN1",1234,448,1.09625945463781e-08
"PI3",1234,449,1.09081025720841e-08
"CKS1B",1234,450,1.08973491558661e-08
"FARSA",1234,451,1.08704603594409e-08
"ASS1",1234,452,1.08600613278931e-08
"C11orf31",1234,453,1.08515854692416e-08
"DST",1234,454,1.08329256356651e-08
"AP2S1",1234,455,1.08067024978939e-08
"REEP5",1234,456,1.07757236988291e-08
"IGHA1",1234,457,1.07592300643326e-08
"NFIC",1234,458,1.07069037074614e-08
"CCT6A",1234,459,1.07044806841653e-08
"ATP5C1",1234,460,1.06805958139224e-08
"B4GALT1",1234,461,1.06769143349631e-08
"UQCRFS1",1234,462,1.0672490931486e-08
"RARRES3",1234,463,1.06707122521421e-08
"SLC16A3",1234,464,1.06571413760292e-08
"MRPL13",1234,465,1.06303449248689e-08
"APOL1",1234,466,1.06292001310204e-08
"EEF1E1",1234,467,1.06276289630621e-08
"USP53",1234,468,1.06221341712373e-08
"PPIF",1234,469,1.06152505303838e-08
"MRPL22",1234,470,1.0594507385906e-08
"C20orf27",1234,471,1.05835363198113e-08
"RSL1D1",1234,472,1.05567994022218e-08
"RNF213",1234,473,1.05105862825745e-08
"BRIX1",1234,474,1.05053725386797e-08
"PLEC",1234,475,1.047399109988e-08
"POLE3",1234,476,1.04659587019514e-08
"RGMB",1234,477,1.04637522495315e-08
"PKM",1234,478,1.04289643851724e-08
"TRIM15",1234,479,1.04025139847825e-08
"RNH1",1234,480,1.03625927684005e-08
"CD55",1234,481,1.03376510987775e-08
"COX4I1",1234,482,1.0315969091145e-08
"GTF3C6",1234,483,1.03111032496817e-08
"ITGB6",1234,484,1.03104936700801e-08
"PDIA6",1234,485,1.02974039021391e-08
"FOXA3",1234,486,1.02973086263716e-08
"PHB2",1234,487,1.02843312077358e-08
"SNRNP70",1234,488,1.02777203467729e-08
"ECHS1",1234,489,1.02758577810165e-08
"SRA1",1234,490,1.0271854578131e-08
"BUD31",1234,491,1.02674282923074e-08
"SMPDL3A",1234,492,1.02422847243037e-08
"CXCL1",1234,493,1.02370692952316e-08
"HNRNPDL",1234,494,1.02092074632917e-08
"ERO1L",1234,495,1.01993942127838e-08
"PHF5A",1234,496,1.01859160187862e-08
"MXI1",1234,497,1.01774123542351e-08
"CDX1",1234,498,1.01177947697321e-08
"MRPL37",1234,499,1.01086664408722e-08
"PSMD6",1234,500,1.00854587766346e-08
"BTF3",1234,501,1.00668279133634e-08
"PBDC1",1234,502,1.00658988226736e-08
"ATP5B",1234,503,1.00536974641774e-08
"TMED10",1234,504,1.00512624422895e-08
"CD59",1234,505,1.00276300788929e-08
"ZFAS1",1234,506,1.00141171225294e-08
"PLS1",1234,507,9.99648099423093e-09
"CD44",1234,508,9.98146827048437e-09
"TMEM205",1234,509,9.96963336116025e-09
"PSMD4",1234,510,9.96727283231615e-09
"MYO15B",1234,511,9.95247469956587e-09
"POLR2E",1234,512,9.902027354169e-09
"SNRPF",1234,513,9.8693691844608e-09
"ARPC1B",1234,514,9.83308114904259e-09
"FUS",1234,515,9.83168998063555e-09
"MAFF",1234,516,9.81021619376611e-09
"FHL2",1234,517,9.76574383563853e-09
"PSMC5",1234,518,9.76525096134878e-09
"SMARCC1",1234,519,9.73751910398345e-09
"EXOSC5",1234,520,9.73349059656037e-09
"GPRC5A",1234,521,9.70693681785737e-09
"H3F3A",1234,522,9.66979518549743e-09
"PDIA4",1234,523,9.66643899788224e-09
"SEC61G",1234,524,9.64418285364989e-09
"AQP1",1234,525,9.6154963190998e-09
"TSFM",1234,526,9.61139543275415e-09
"CASP10",1234,527,9.60008525920161e-09
"HMGB2",1234,528,9.58399885687856e-09
"NOLC1",1234,529,9.57505270502174e-09
"TMEM37",1234,530,9.57062646728966e-09
"CDK6",1234,531,9.53951381614952e-09
"SLC35B1",1234,532,9.51607050322365e-09
"CCL28",1234,533,9.49969968293715e-09
"SSFA2",1234,534,9.49056528468848e-09
"IGHM",1234,535,9.46605574026257e-09
"PSMD2",1234,536,9.45821306144325e-09
"CAPG",1234,537,9.44697957836306e-09
"KLF6",1234,538,9.43682633068563e-09
"BAX",1234,539,9.42031410943452e-09
"H2AFV",1234,540,9.39799217427041e-09
"TMC5",1234,541,9.38242724904093e-09
"CYP3A5",1234,542,9.37549708121211e-09
"TRAPPC2L",1234,543,9.3627073842656e-09
"IGLC7",1234,544,9.35795300567637e-09
"CCDC167",1234,545,9.35492824875625e-09
"RER1",1234,546,9.34605384538718e-09
"LIPH",1234,547,9.34583113265868e-09
"TOMM22",1234,548,9.34036700080609e-09
"TYMP",1234,549,9.33393317254518e-09
"ZWINT",1234,550,9.32903461283583e-09
"SHD",1234,551,9.30312020896611e-09
"ATIC",1234,552,9.29511313461452e-09
"PPIH",1234,553,9.28212061780834e-09
"NT5C3A",1234,554,9.27534307473884e-09
"LMNA",1234,555,9.27310593156201e-09
"IFNGR1",1234,556,9.26975332913283e-09
"PDCD5",1234,557,9.26705988230316e-09
"SULT1B1",1234,558,9.25147199029516e-09
"CCDC34",1234,559,9.25049844203864e-09
"SNHG16",1234,560,9.24581762251155e-09
"SAT1",1234,561,9.23412389840639e-09
"TMEM123",1234,562,9.22059241090213e-09
"MARCKSL1",1234,563,9.20532295427622e-09
"PPA2",1234,564,9.20050600399943e-09
"TSC22D1",1234,565,9.14871142459811e-09
"JTB",1234,566,9.14690305837048e-09
"UBA52",1234,567,9.13863680739474e-09
"IMP4",1234,568,9.12629330283484e-09
"MLPH",1234,569,9.09420657123737e-09
"MZB1",1234,570,9.07550978088083e-09
"HM13",1234,571,9.07539790368376e-09
"EIF4B",1234,572,9.06470764050706e-09
"PSMC3",1234,573,9.06330579980133e-09
"RP11-48O20.4",1234,574,9.03353789711968e-09
"HNRNPM",1234,575,9.0010739193938e-09
"HLA-E",1234,576,8.9874985657215e-09
"PNRC1",1234,577,8.98607315309884e-09
"NDUFS6",1234,578,8.9856368416519e-09
"CKMT1B",1234,579,8.98392887945532e-09
"DNMT1",1234,580,8.94772190674336e-09
"TRAPPC1",1234,581,8.88618037923622e-09
"NDUFS3",1234,582,8.88118836031328e-09
"UQCRC1",1234,583,8.88023606477515e-09
"EBP",1234,584,8.87439055805995e-09
"GTF3A",1234,585,8.85828968391558e-09
"PTPLAD1",1234,586,8.84614210919145e-09
"PRDX1",1234,587,8.84287019479961e-09
"CNN3",1234,588,8.82833809084231e-09
"CLNS1A",1234,589,8.80871990547305e-09
"MCM5",1234,590,8.76693111568349e-09
"LITAF",1234,591,8.75485361925416e-09
"PARM1",1234,592,8.72401642086203e-09
"CCNG1",1234,593,8.71772725368727e-09
"ATP10B",1234,594,8.70369572879586e-09
"SNRPA1",1234,595,8.68618137717649e-09
"C10orf99",1234,596,8.6834006621527e-09
"CKS2",1234,597,8.68052878210651e-09
"IGKC",1234,598,8.6678191303709e-09
"C11orf83",1234,599,8.65889960811383e-09
"MGST2",1234,600,8.6358886600649e-09
"ALDH1B1",1234,601,8.63131047041605e-09
"RABAC1",1234,602,8.61750625775799e-09
"UGP2",1234,603,8.57555916237618e-09
"RMI2",1234,604,8.57169383238071e-09
"CHMP2A",1234,605,8.5648754627417e-09
"GMNN",1234,606,8.55453851883406e-09
"SLC22A18",1234,607,8.55228700271164e-09
"ETS2",1234,608,8.54504546295002e-09
"PLEKHJ1",1234,609,8.5276612194897e-09
"PHPT1",1234,610,8.52526883075118e-09
"PAFAH1B3",1234,611,8.52396739076019e-09
"EIF2S1",1234,612,8.51039366587608e-09
