script	input_name	current_placeholder	input_category	authoritative_origin	expected_public_location	upstream_producer_script	download_source_if_public	required_for_full_reproduction	resolution	notes	source	source_or_generation_route	consuming_analysis	availability	reproducibility_class	public_regeneration_status
scripts/03_GART_detection_and_donor_models/02_donor_balanced_primary_validation.R	GART_detection_and_hurdle_models.csv	private revision path	C. PUBLIC_REPOSITORY_DATA	Committed corrected model table	data_public/figure_source_data/Figure2/GART_detection_and_hurdle_models.csv			YES	DOCUMENTED		Committed corrected model table	Committed corrected model table	scripts/03_GART_detection_and_donor_models/02_donor_balanced_primary_validation.R	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	FORMAL_INPUT_REPRODUCTION
scripts/07_cell_communication/01_LIANA_donor_aware_LODO.R	LIANA_per_donor_paired_differences.csv.gz	corrupted local work path	B. UPSTREAM_DERIVED	Locked donor-paired LIANA output	work/cell_communication/LIANA_per_donor_paired_differences.csv.gz			YES	DOCUMENTED	Produced by the donor-aware LIANA workflow before LODO summarization.	Locked donor-paired LIANA output	Locked donor-paired LIANA output	scripts/07_cell_communication/01_LIANA_donor_aware_LODO.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Fig5A_CellChat_source_data.csv	private revision path	B. UPSTREAM_DERIVED	Frozen Figure 5 upstream source table	work/cell_communication/figure5_positive_main/SOURCE_DATA/Fig5A_CellChat_source_data.csv			YES	DOCUMENTED	Candidate summarization input; final public tables remain committed under data_public.	Frozen Figure 5 upstream source table	Frozen Figure 5 upstream source table	scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Fig5B_LIANA_source_data.csv	private revision path	B. UPSTREAM_DERIVED	Frozen Figure 5 upstream source table	work/cell_communication/figure5_positive_main/SOURCE_DATA/Fig5B_LIANA_source_data.csv			YES	DOCUMENTED	Candidate summarization input; final public tables remain committed under data_public.	Frozen Figure 5 upstream source table	Frozen Figure 5 upstream source table	scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Fig5D_MYBL2_paired_source_data.csv	private revision path	B. UPSTREAM_DERIVED	Frozen Figure 5 upstream source table	work/cell_communication/figure5_positive_main/SOURCE_DATA/Fig5D_MYBL2_paired_source_data.csv			YES	DOCUMENTED	Candidate summarization input; final public tables remain committed under data_public.	Frozen Figure 5 upstream source table	Frozen Figure 5 upstream source table	scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Fig5E_positive_genes_source_data.csv	private revision path	B. UPSTREAM_DERIVED	Frozen Figure 5 upstream source table	work/cell_communication/figure5_positive_main/SOURCE_DATA/Fig5E_positive_genes_source_data.csv			YES	DOCUMENTED	Candidate summarization input; final public tables remain committed under data_public.	Frozen Figure 5 upstream source table	Frozen Figure 5 upstream source table	scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/08_spatial_GSE189184/01_extract_singlecell_training_matrix.R	frozen ISC-like Seurat object	private single-cell path	D. LOCAL_PRIVATE_SOURCE	Frozen SCP259/GSE214695-derived object	data_external/singlecell/frozen_objects/UC_GART_07_ISC_like_subclustered_FIXED_withDonor.rds			YES	DOCUMENTED		Frozen SCP259/GSE214695-derived object	Frozen SCP259/GSE214695-derived object	scripts/08_spatial_GSE189184/01_extract_singlecell_training_matrix.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/08_spatial_GSE189184/01_extract_singlecell_training_matrix.R	ISC_corrected_cell_metadata.csv	private revision path	B. UPSTREAM_DERIVED	Corrected single-cell metadata	results_reproduced/singlecell/INTERMEDIATE/ISC_corrected_cell_metadata.csv	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R		YES	DOCUMENTED		Corrected single-cell metadata	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R	scripts/08_spatial_GSE189184/01_extract_singlecell_training_matrix.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/08_spatial_GSE189184/02_train_outcome_independent_singlecell_program.py	SCP259_primary_pseudobulk_DEG.csv	private revision path	C. PUBLIC_REPOSITORY_DATA	Committed donor-paired DEG table	data_public/figure_source_data/Figure3/SCP259_primary_pseudobulk_DEG.csv			YES	DOCUMENTED		Committed donor-paired DEG table	Committed donor-paired DEG table	scripts/08_spatial_GSE189184/02_train_outcome_independent_singlecell_program.py	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	FORMAL_INPUT_REPRODUCTION
scripts/04_donor_pseudobulk_and_modules/03_donor_paired_pseudobulk_GSEA.R; scripts/08_spatial_GSE189184/02_train_outcome_independent_singlecell_program.py	h.all.v2025.1.Hs.symbols.gmt	corrupted URL/private gene-set path	A. PUBLIC_EXTERNAL_RAW	MSigDB 2025.1.Hs	data_external/gene_sets/msigdb/h.all.v2025.1.Hs.symbols.gmt		https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2025.1.Hs/h.all.v2025.1.Hs.symbols.gmt	YES	DOCUMENTED		MSigDB 2025.1.Hs	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2025.1.Hs/h.all.v2025.1.Hs.symbols.gmt	scripts/04_donor_pseudobulk_and_modules/03_donor_paired_pseudobulk_GSEA.R; scripts/08_spatial_GSE189184/02_train_outcome_independent_singlecell_program.py	Public download	REGENERATABLE_FROM_PUBLIC_SOURCE	YES
scripts/04_donor_pseudobulk_and_modules/03_donor_paired_pseudobulk_GSEA.R; scripts/08_spatial_GSE189184/02_train_outcome_independent_singlecell_program.py	c5.go.bp.v2025.1.Hs.symbols.gmt	corrupted URL/private gene-set path	A. PUBLIC_EXTERNAL_RAW	MSigDB 2025.1.Hs	data_external/gene_sets/msigdb/c5.go.bp.v2025.1.Hs.symbols.gmt		https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2025.1.Hs/c5.go.bp.v2025.1.Hs.symbols.gmt	YES	DOCUMENTED		MSigDB 2025.1.Hs	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2025.1.Hs/c5.go.bp.v2025.1.Hs.symbols.gmt	scripts/04_donor_pseudobulk_and_modules/03_donor_paired_pseudobulk_GSEA.R; scripts/08_spatial_GSE189184/02_train_outcome_independent_singlecell_program.py	Public download	REGENERATABLE_FROM_PUBLIC_SOURCE	YES
scripts/04_donor_pseudobulk_and_modules/03_donor_paired_pseudobulk_GSEA.R; scripts/08_spatial_GSE189184/02_train_outcome_independent_singlecell_program.py	c2.cp.reactome.v2025.1.Hs.symbols.gmt	corrupted URL/private gene-set path	A. PUBLIC_EXTERNAL_RAW	MSigDB 2025.1.Hs	data_external/gene_sets/msigdb/c2.cp.reactome.v2025.1.Hs.symbols.gmt		https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2025.1.Hs/c2.cp.reactome.v2025.1.Hs.symbols.gmt	YES	DOCUMENTED		MSigDB 2025.1.Hs	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/2025.1.Hs/c2.cp.reactome.v2025.1.Hs.symbols.gmt	scripts/04_donor_pseudobulk_and_modules/03_donor_paired_pseudobulk_GSEA.R; scripts/08_spatial_GSE189184/02_train_outcome_independent_singlecell_program.py	Public download	REGENERATABLE_FROM_PUBLIC_SOURCE	YES
scripts/08_spatial_GSE189184/05_score_external_program_in_spatial_data.R	GSE189184_ST_with_FINAL_Fig7_scores_STABLE.rds	private spatial path	D. LOCAL_PRIVATE_SOURCE	Frozen GSE189184 Seurat object	data_external/spatial/GSE189184/frozen_objects/GSE189184_ST_with_FINAL_Fig7_scores_STABLE.rds		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189184	YES	DOCUMENTED		Frozen GSE189184 Seurat object	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189184	scripts/08_spatial_GSE189184/05_score_external_program_in_spatial_data.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/08_spatial_GSE189184/05_score_external_program_in_spatial_data.R	spatial_optimization_spot_source.csv	private revision path	B. UPSTREAM_DERIVED	Outcome-blinded spatial spot metadata	data_external/spatial/GSE189184/spatial_optimization_spot_source.csv			YES	DOCUMENTED	Archived upstream-derived input; final locked spot data are committed separately.	Outcome-blinded spatial spot metadata	Outcome-blinded spatial spot metadata	scripts/08_spatial_GSE189184/05_score_external_program_in_spatial_data.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/09_figure_generation/plot_Figure2B.R	frozen epithelial Seurat object	private single-cell path	D. LOCAL_PRIVATE_SOURCE	Frozen epithelial Seurat object	data_external/singlecell/frozen_objects/UC_GART_06c_Epithelial_Fig2AB_noGARTname_FINAL.rds			YES	DOCUMENTED		Frozen epithelial Seurat object	Frozen epithelial Seurat object	scripts/09_figure_generation/plot_Figure2B.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/09_figure_generation/plot_Figure2C_D.R	single-cell upstream results	private revision/output paths	B. UPSTREAM_DERIVED	Outputs of repaired single-cell scripts	results_reproduced/singlecell/	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R and downstream analysis scripts		YES	DOCUMENTED		Outputs of repaired single-cell scripts	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R and downstream analysis scripts	scripts/09_figure_generation/plot_Figure2C_D.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/09_figure_generation/plot_Figure2E_F_G.R	single-cell upstream results	private revision/output paths	B. UPSTREAM_DERIVED	Outputs of repaired single-cell scripts	results_reproduced/singlecell/	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R and downstream analysis scripts		YES	DOCUMENTED		Outputs of repaired single-cell scripts	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R and downstream analysis scripts	scripts/09_figure_generation/plot_Figure2E_F_G.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/09_figure_generation/plot_Figure3A_F.R	single-cell upstream results	private revision/output paths	B. UPSTREAM_DERIVED	Outputs of repaired single-cell scripts	results_reproduced/singlecell/	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R and downstream analysis scripts		YES	DOCUMENTED		Outputs of repaired single-cell scripts	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R and downstream analysis scripts	scripts/09_figure_generation/plot_Figure3A_F.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/09_figure_generation/plot_Figure3G.R	SCP259_primary_pseudobulk_DEG.csv	private revision path	C. PUBLIC_REPOSITORY_DATA	Committed donor-paired DEG table	data_public/figure_source_data/Figure3/SCP259_primary_pseudobulk_DEG.csv			YES	DOCUMENTED		Committed donor-paired DEG table	Committed donor-paired DEG table	scripts/09_figure_generation/plot_Figure3G.R	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	FORMAL_INPUT_REPRODUCTION
scripts/09_figure_generation/plot_Figure4C_D_F.R	Figure 4 main source tables	private output path	C. PUBLIC_REPOSITORY_DATA	Committed final Figure 4 source tables	data_public/figure_source_data/Figure4/			YES	DOCUMENTED		Committed final Figure 4 source tables	Committed final Figure 4 source tables	scripts/09_figure_generation/plot_Figure4C_D_F.R	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	FORMAL_INPUT_REPRODUCTION
scripts/09_figure_generation/plot_Figure4C_D_F.R	FigS4F_full_programs_source_data.csv	private output path	B. UPSTREAM_DERIVED	Archived non-final supplementary source table	data_external/derived_inputs/figure4/FigS4F_full_programs_source_data.csv			NO	DOCUMENTED		Archived non-final supplementary source table	Archived non-final supplementary source table	scripts/09_figure_generation/plot_Figure4C_D_F.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/09_figure_generation/plot_Figure4E.py	Figure 4E main source table	private output path	C. PUBLIC_REPOSITORY_DATA	Committed final Figure 4E source table	data_public/figure_source_data/Figure4/Fig4E_focused_candidate_source_data.csv			YES	DOCUMENTED		Committed final Figure 4E source table	Committed final Figure 4E source table	scripts/09_figure_generation/plot_Figure4E.py	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	FORMAL_INPUT_REPRODUCTION
scripts/09_figure_generation/plot_Figure4E.py	FigS4E_full_recurrent_gene_source_data.csv	private output path	B. UPSTREAM_DERIVED	Archived non-final supplementary source table	data_external/derived_inputs/figure4/FigS4E_full_recurrent_gene_source_data.csv			NO	DOCUMENTED		Archived non-final supplementary source table	Archived non-final supplementary source table	scripts/09_figure_generation/plot_Figure4E.py	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/09_figure_generation/plot_Figure4E.py	Arial font files	C:/Windows/Fonts	D. LOCAL_PRIVATE_SOURCE	Licensed system font files	data_external/fonts/arial.ttf; data_external/fonts/arialbd.ttf			YES	DOCUMENTED	Not committed because font licensing is external to the repository.	Licensed system font files	Licensed system font files	scripts/09_figure_generation/plot_Figure4E.py	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/09_figure_generation/plot_Figure5D.R	SCP259_primary_pseudobulk_DEG.csv	private revision path	C. PUBLIC_REPOSITORY_DATA	Committed donor-paired DEG table	data_public/figure_source_data/Figure3/SCP259_primary_pseudobulk_DEG.csv			YES	DOCUMENTED		Committed donor-paired DEG table	Committed donor-paired DEG table	scripts/09_figure_generation/plot_Figure5D.R	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	FORMAL_INPUT_REPRODUCTION
scripts/09_figure_generation/plot_Figure5F.R	No scientific input file	private output root only	C. PUBLIC_REPOSITORY_DATA	Markers are literal locked display definitions in the authoritative script	not applicable			NO	PATH_ONLY_OUTPUT_REPAIR		Markers are literal locked display definitions in the authoritative script	Markers are literal locked display definitions in the authoritative script	scripts/09_figure_generation/plot_Figure5F.R	Documented external/frozen input	DISTRIBUTED_FORMAL_INPUT	DOCUMENTED_BOUNDARY
scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R	RAW_LAYER_RECOVERY_AUDIT.csv	not applicable	B. UPSTREAM_DERIVED	Corrected raw-layer recovery audit	data_external/singlecell/audits/RAW_LAYER_RECOVERY_AUDIT.csv			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Corrected raw-layer recovery audit	Corrected raw-layer recovery audit	scripts/02_singlecell_preprocessing/01_rebuild_singlecell_inputs.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/04_donor_pseudobulk_and_modules/01_public_module_scoring.R	MODULE_GENE_SETS_AND_PARAMETERS.csv	not applicable	C. PUBLIC_REPOSITORY_DATA	Locked public module definitions and scoring parameters	data_public/singlecell/MODULE_GENE_SETS_AND_PARAMETERS.csv			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Locked public module definitions and scoring parameters	Locked public module definitions and scoring parameters	scripts/04_donor_pseudobulk_and_modules/01_public_module_scoring.R	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	FORMAL_INPUT_REPRODUCTION
scripts/05_pseudotime/01_pseudotime_sensitivity.R	PSEUDOTIME_CORRECTED_CELL_METADATA.rds	not applicable	B. UPSTREAM_DERIVED	Frozen corrected pseudotime cell metadata	data_external/singlecell/pseudotime/PSEUDOTIME_CORRECTED_CELL_METADATA.rds			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Frozen corrected pseudotime cell metadata	Frozen corrected pseudotime cell metadata	scripts/05_pseudotime/01_pseudotime_sensitivity.R	Documented external/frozen input	UPSTREAM_DERIVED_INPUT	DOCUMENTED_BOUNDARY
scripts/05_pseudotime/01_pseudotime_sensitivity.R	PSEUDOTIME_INDEPENDENT_ROOT_SELECTION.csv	not applicable	C. PUBLIC_REPOSITORY_DATA	Outcome-independent root-selection record	data_public/singlecell/PSEUDOTIME_INDEPENDENT_ROOT_SELECTION.csv			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Outcome-independent root-selection record	Outcome-independent root-selection record	scripts/05_pseudotime/01_pseudotime_sensitivity.R	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	FORMAL_INPUT_REPRODUCTION
scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	random seed 1234	not applicable	E. LOCKED_PARAMETER	Pre-specified scTenifoldKnk run seed	environment/random_seeds.csv			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Pre-specified scTenifoldKnk run seed	Pre-specified scTenifoldKnk run seed	scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	random seed 2024	not applicable	E. LOCKED_PARAMETER	Pre-specified scTenifoldKnk run seed	environment/random_seeds.csv			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Pre-specified scTenifoldKnk run seed	Pre-specified scTenifoldKnk run seed	scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	random seed 7777	not applicable	E. LOCKED_PARAMETER	Pre-specified scTenifoldKnk run seed	environment/random_seeds.csv			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Pre-specified scTenifoldKnk run seed	Pre-specified scTenifoldKnk run seed	scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	random seed 8888	not applicable	E. LOCKED_PARAMETER	Pre-specified scTenifoldKnk run seed	environment/random_seeds.csv			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Pre-specified scTenifoldKnk run seed	Pre-specified scTenifoldKnk run seed	scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	random seed 9999	not applicable	E. LOCKED_PARAMETER	Pre-specified scTenifoldKnk run seed	environment/random_seeds.csv			YES	DOCUMENTED	Explicitly added during Reviewer 3 final input-contract audit.	Pre-specified scTenifoldKnk run seed	Pre-specified scTenifoldKnk run seed	scripts/06_scTenifoldKnk/01_scTenifoldKnk_five_runs.R	Documented external/frozen input	DOCUMENTED_EXTERNAL_OR_FROZEN_INPUT	DOCUMENTED_BOUNDARY
scripts/11_imaging_statistics/reproduce_Figure7_statistics.R	Figure7_formal_statistical_inputs.csv	none	C. DISTRIBUTED_FORMAL_INPUT	Exact archived formal statistical inputs extracted from locked Figure 7 Prism PZFX tables	data_public/figure_source_data/Figure7/Figure7_formal_statistical_inputs.csv			YES	DOCUMENTED	Endpoint-specific anonymous observation identifiers enumerate formal inputs only; no cross-endpoint pairing is implied.	Archived formal Prism PZFX tables	Direct exact-value extraction from locked Prism tables	scripts/11_imaging_statistics/reproduce_Figure7_statistics.R	Distributed in repository	DISTRIBUTED_FORMAL_INPUT	YES; 13/13 endpoints reproduced
scripts/11_imaging_statistics/reproduce_Figure7_statistics.R	Figure7B_archived_formal_Prism_source.pzfx	none	C. DISTRIBUTED_FORMAL_INPUT	Locked archived Figure 7B Prism formal analysis object	data_public/formal_analysis_objects/Figure7B_archived_formal_Prism_source.pzfx			NO	DOCUMENTED	Binary object passed metadata/privacy screen; CSV is the portable formal statistical input.	Archived Figure 7B Prism PZFX	Byte-identical copy after privacy/metadata screen	Reference object for Figure 7B formal inputs	Distributed in repository	DISTRIBUTED_FORMAL_ANALYSIS_OBJECT	CSV-based formal reproduction available
