Figure	Panel	Public_source_file	Public_columns	Biological_unit	n	Statistical_test	Adjusted_or_raw_P	Authoritative_source	Code_script	Reproducible_from_public_inputs	Notes
Figure 3	C	data_public/figure_source_data/Figure3/Fig3C_Hallmark_GSEA_source_data.csv	pathway; pval; padj; log2err; ES; NES; size; leadingEdge; collection; displayed; analysis_type; n_donors; effect; CI_low; CI_high; P; FDR; selection_display_rule	donor	11 paired SCP259 donors	donor-paired pseudobulk / donor-aware analysis	BH FDR where applicable	Frozen final revision source data	scripts/09_figure_generation/plot_Figure3A_F.R	Partially; public large matrices must be downloaded	
Figure 3	D	data_public/figure_source_data/Figure3/Fig3D_Reactome_GO_GSEA_source_data.xlsx	Full Reactome GO; Displayed pathways	donor	11 paired SCP259 donors	donor-paired pseudobulk / donor-aware analysis	BH FDR where applicable	Frozen final revision source data	scripts/09_figure_generation/plot_Figure3A_F.R	Partially; public large matrices must be downloaded	
Figure 3	E	data_public/figure_source_data/Figure3/Fig3E_paired_donor_modules_source_data.csv	donor_id; cohort; module; status; score; module_label; n_donors; analysis_type; effect; CI_low; CI_high; P; FDR; selection_display_rule	donor	23 donors contributing both states (21 UC + 2 Healthy)	paired donor-level module comparison	BH FDR where applicable	Frozen final revision source data	scripts/09_figure_generation/plot_Figure3A_F.R	Partially; public large matrices must be downloaded	
Figure 3	F	data_public/figure_source_data/Figure3/Fig3F_cell_cycle_stratified_source_data.csv	analysis; random_structure; term; estimate; SE; CI_low; CI_high; P; OR; OR_CI_low; OR_CI_high; n_cells; n_donors; isSingular; convergence_warning; donor_variance; sample_variance; residual_variance; module; phase; FDR; module_label; phase_label; cell_label; n_donors_panel; analysis_type; effect; selection_display_rule	donor	G1: 30 donors; S: 25 donors; G2/M: 21 donors	donor-aware covariate-adjusted module models within cell-cycle phase	BH FDR where applicable	Frozen final revision source data	scripts/09_figure_generation/plot_Figure3A_F.R	Partially; public large matrices must be downloaded	
Figure 3	G	data_public/figure_source_data/Figure3/Fig3G_representative_proliferation_nucleotide_gene_effects_source_data.csv	gene; effect_log2FC; SE; CI_low; CI_high; P; FDR; n_paired_donors; cell_threshold; model; neg_log10_FDR; FDR_status; display_order; analysis_type; effect_definition; selection_display_rule	donor	11 paired SCP259 donors	donor-paired pseudobulk / donor-aware analysis	BH FDR where applicable	Frozen final revision source data	scripts/09_figure_generation/plot_Figure3G.R	Partially; public large matrices must be downloaded	
Figure 4	A	data_public/figure_source_data/Figure4/pseudotime_cell_plot_data.csv	cell_id; UMAP1; UMAP2; GART_status; donor_id; cohort; condition; pseudotime_independent_root; pseudotime_no_GART_no_cell_cycle	cell/gene output	5 scTenifold runs where applicable	paired Wilcoxon or scTenifold gene-level statistic	within-run BH for scTenifold	Frozen final revision source data	scripts/05_pseudotime/01_pseudotime_sensitivity.R	Partially; public large matrices must be downloaded	
Figure 4	B	data_public/figure_source_data/Figure4/pseudotime_donor_summary.csv	donor_id; cohort; condition; GART_status; n_cells; median_independent_root; median_no_GART_no_cell_cycle	donor	23 paired donors	paired Wilcoxon or scTenifold gene-level statistic	within-run BH for scTenifold	Frozen final revision source data	scripts/05_pseudotime/01_pseudotime_sensitivity.R	Partially; public large matrices must be downloaded	
Figure 4	C	data_public/figure_source_data/Figure4/Fig4C_source_data.csv	donor_id; cohort; GART_undetected_median; GART_detected_median; paired_difference; n_paired_donors; displayed_test; displayed_P; parametric_sensitivity_test; parametric_sensitivity_P; archived_mean_difference; archived_mean_difference_CI_low; archived_mean_difference_CI_high; trajectory_definition	cell/gene output	5 scTenifold runs where applicable	paired Wilcoxon or scTenifold gene-level statistic	within-run BH for scTenifold	Frozen final revision source data	scripts/09_figure_generation/plot_Figure4C_D_F.R	Partially; public large matrices must be downloaded	
Figure 4	D	data_public/figure_source_data/Figure4/Fig4D_source_data.csv	display_order; metric; label; Spearman_rho; n_cells; interpretation; display_scope	cell/gene output	5 scTenifold runs where applicable	paired Wilcoxon or scTenifold gene-level statistic	within-run BH for scTenifold	Frozen final revision source data	scripts/09_figure_generation/plot_Figure4C_D_F.R	Partially; public large matrices must be downloaded	
Figure 4	E	data_public/figure_source_data/Figure4/Fig4E_focused_candidate_source_data.csv	gene; functional_category; n_top100; n_runs; top100_recurrence; median_rank; rank_IQR; median_perturbation_distance; best_rank; run_1234_distance; run_1234_rank; run_1234_nominal_P; run_1234_BH_FDR; run_1234_top100; run_1234_top5pct; run_2024_distance; run_2024_rank; run_2024_nominal_P; run_2024_BH_FDR; run_2024_top100; run_2024_top5pct; run_7777_distance; run_7777_rank; run_7777_nominal_P; run_7777_BH_FDR; run_7777_top100; run_7777_top5pct; run_8888_distance; run_8888_rank; run_8888_nominal_P; run_8888_BH_FDR; run_8888_top100; run_8888_top5pct; run_9999_distance; run_9999_rank; run_9999_nominal_P; run_9999_BH_FDR; run_9999_top100; run_9999_top5pct; display_in_main; display_reason; analysis_scope	cell/gene output	5 scTenifold runs where applicable	paired Wilcoxon or scTenifold gene-level statistic	within-run BH for scTenifold	Frozen final revision source data	scripts/09_figure_generation/plot_Figure4C_D_F.R	Partially; public large matrices must be downloaded	
Figure 4	F	data_public/figure_source_data/Figure4/Fig4F_core_programs_source_data.csv	display_order; module; label; n_genes; median_rank; median_percentile; enrichment_P; FDR; minus_log10_FDR; display_scope; analysis_type	cell/gene output	5 scTenifold runs where applicable	paired Wilcoxon or scTenifold gene-level statistic	within-run BH for scTenifold	Frozen final revision source data	scripts/09_figure_generation/plot_Figure4C_D_F.R	Partially; public large matrices must be downloaded	
Figure 5	A	data_public/figure_source_data/Figure5/Fig5A_MIF_CellChat_donor_source_data.csv	donor_id; source; interaction_name; cohort; condition; pathway_name; ligand; receptor; detected_score; undetected_score; difference; gart_threshold; min_cells; expression_threshold; result_type; sender; paired_P; BH_FDR; positive_donor_n; paired_donor_n	donor	11 paired donors	paired donor-aware comparison	BH FDR where supplied	Frozen final revision source data	scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Partially; public large matrices must be downloaded	
Figure 5	B	data_public/figure_source_data/Figure5/Fig5B_LIANA_consensus_donor_source_data.csv	source; ligand_complex; receptor_complex; detected_score; undetected_score; difference; method; donor_id; gart_threshold; expression_threshold; resource; n_Myeloid; n_Fibroblast; n_Endothelial; n_Other epithelial; n_T/NK; n_GART-undetected ISC-like; n_GART-detected ISC-like; sender_cells; paired_P; BH_FDR; positive_donor_n; paired_donor_n	donor	11 paired donors	paired donor-aware comparison	BH FDR where supplied	Frozen final revision source data	scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Partially; public large matrices must be downloaded	
Figure 5	C	data_public/figure_source_data/Figure5/Fig5C_MIF_CD74_context_heatmap_source_data.csv	source; raw_score; framework; display_scaled; score_label	descriptive candidate	as supplied	descriptive	BH FDR where supplied	Frozen final revision source data	scripts/07_cell_communication/02_build_final_CellChat_LIANA_summaries.R	Partially; public large matrices must be downloaded	
Figure 5	D	data_public/figure_source_data/Figure5/Fig5D_MYBL2_expression_rebuild_source_data.csv	gene; log2FC; CI_low; CI_high; nominal_P; BH_FDR; n_paired_donors; cell_threshold; biological_unit; model; donor_level_expression_matrix_available; donor_values_reconstructed; display_type	donor	11 paired donors	paired donor-aware comparison	BH FDR where supplied	Frozen final revision source data	scripts/09_figure_generation/plot_Figure5D.R	Partially; public large matrices must be downloaded	
Figure 5	E	data_public/figure_source_data/Figure5/Fig5E_proliferation_nucleotide_lollipop_source_data.csv	gene; model; estimate; SE; CI_low; CI_high; P; FDR; n_cells; n_donors; random_effect_variance; isSingular; warning; adjusted_estimate; adjusted_P; adjusted_FDR; adjusted_direction; adjusted_persistence; display_order; emphasis; fdr_label; point_size	descriptive candidate	as supplied	descriptive	BH FDR where supplied	Frozen final revision source data	scripts/09_figure_generation/plot_Figure5F.R	Partially; public large matrices must be downloaded	
Figure 5	F	data_public/figure_source_data/Figure5/Fig5F_tissue_validation_marker_summary_source_data.csv	module_number; module; marker; display_order; interpretation; directionality; causal_interpretation	descriptive candidate	as supplied	descriptive	BH FDR where supplied	Frozen final revision source data	scripts/09_figure_generation/plot_Figure5F.R	Partially; public large matrices must be downloaded	
Figure 6	A	data_public/figure_source_data/Figure6/GSE189184_primary_spot_source_data.csv	spot_id; section_id; donor_id; condition; array_row; array_col; pixel_row; pixel_col; GART_expression; GART_count; GART_detected; epithelial_score; epithelial_percentile; inside_locked_primary_ROI; external_program_score; MYBL2; PCNA; PAICS; MCM7; GINS2; MIF; CD74	donor	7 (2 HC, 5 UC)	exact paired sign-flip for primary donor endpoint; other panels descriptive	raw	Frozen final revision source data	scripts/08_spatial_GSE189184/07_plot_final_Figure6.py	Partially; public large matrices must be downloaded	
Figure 6	B	data_public/figure_source_data/Figure6/GSE189184_primary_spot_source_data.csv	spot_id; section_id; donor_id; condition; array_row; array_col; pixel_row; pixel_col; GART_expression; GART_count; GART_detected; epithelial_score; epithelial_percentile; inside_locked_primary_ROI; external_program_score; MYBL2; PCNA; PAICS; MCM7; GINS2; MIF; CD74	donor	7 (2 HC, 5 UC)	exact paired sign-flip for primary donor endpoint; other panels descriptive	raw	Frozen final revision source data	scripts/08_spatial_GSE189184/07_plot_final_Figure6.py	Partially; public large matrices must be downloaded	
Figure 6	C	data_public/figure_source_data/Figure6/revised_primary_donor_scores.csv	donor_id; sample_id; condition; GART_undetected_mean; GART_detected_mean; difference; n_undetected; n_detected	donor	7 (2 HC, 5 UC)	exact paired sign-flip for primary donor endpoint; other panels descriptive	raw	Frozen final revision source data	scripts/08_spatial_GSE189184/07_plot_final_Figure6.py	Partially; public large matrices must be downloaded	
Figure 6	D	data_public/figure_source_data/Figure6/GSE189184_primary_spot_source_data.csv	spot_id; section_id; donor_id; condition; array_row; array_col; pixel_row; pixel_col; GART_expression; GART_count; GART_detected; epithelial_score; epithelial_percentile; inside_locked_primary_ROI; external_program_score; MYBL2; PCNA; PAICS; MCM7; GINS2; MIF; CD74	donor	7 (2 HC, 5 UC)	exact paired sign-flip for primary donor endpoint; other panels descriptive	raw	Frozen final revision source data	scripts/08_spatial_GSE189184/07_plot_final_Figure6.py	Partially; public large matrices must be downloaded	
Figure 6	E	data_public/figure_source_data/Figure6/GSE189184_primary_spot_source_data.csv	spot_id; section_id; donor_id; condition; array_row; array_col; pixel_row; pixel_col; GART_expression; GART_count; GART_detected; epithelial_score; epithelial_percentile; inside_locked_primary_ROI; external_program_score; MYBL2; PCNA; PAICS; MCM7; GINS2; MIF; CD74	donor	7 (2 HC, 5 UC)	exact paired sign-flip for primary donor endpoint; other panels descriptive	raw	Frozen final revision source data	scripts/08_spatial_GSE189184/07_plot_final_Figure6.py	Partially; public large matrices must be downloaded	
Figure 6	F	data_public/figure_source_data/Figure6/GSE189184_primary_spot_source_data.csv	spot_id; section_id; donor_id; condition; array_row; array_col; pixel_row; pixel_col; GART_expression; GART_count; GART_detected; epithelial_score; epithelial_percentile; inside_locked_primary_ROI; external_program_score; MYBL2; PCNA; PAICS; MCM7; GINS2; MIF; CD74	donor	7 (2 HC, 5 UC)	exact paired sign-flip for primary donor endpoint; other panels descriptive	raw	Frozen final revision source data	scripts/08_spatial_GSE189184/07_plot_final_Figure6.py	Partially; public large matrices must be downloaded	
Figure 7	A	data_public/figure_source_data/Figure7/Fig7A_participant_level_source_data.csv	Panel; Staining_panel; Participant_ID; Group; Endpoint; Value; Unit; Biological_unit; Numerical_source; Cross_panel_identity	participant	43 participants / 172 rows	archived Prism analysis	as archived	Frozen final revision source data	Not recoverable; locked numerical source data	No	Cross-panel identity not inferred
Figure 7	B	data_public/figure_source_data/Figure7/Fig7B_participant_level_source_data.csv	Panel; Staining_panel; Participant_ID; Group; Endpoint; Value; Unit; Biological_unit; Numerical_source; Cross_panel_identity	participant	40 participants / 200 rows	archived Prism analysis	as archived	Frozen final revision source data	Not recoverable; locked numerical source data	No	Cross-panel identity not inferred
Figure 7	C	data_public/figure_source_data/Figure7/Fig7C_participant_level_source_data.csv	Panel; Staining_panel; Participant_ID; Group; Endpoint; Value; Unit; Biological_unit; Numerical_source; Cross_panel_identity	participant	95 participants / 380 rows	archived Prism analysis	as archived	Frozen final revision source data	Not recoverable; locked numerical source data	No	Cross-panel identity not inferred
Figure 8	A	data_public/figure_source_data/Figure8/body_weight_mouse_level.csv	mouse_id; group; day; endpoint; value; unit; included_in_primary_analysis; missing_reason; source_record; animal_identity_note	mouse x day	6/group	mixed-effects for longitudinal endpoints; equal-variance two-sided t test for two-group endpoints	family-wise BH for endpoint families	Frozen final revision source data	Not recoverable; public mouse-level source data	No	
Figure 8	B	data_public/figure_source_data/Figure8/DAI_mouse_level.csv	mouse_id; group; day; endpoint; value; unit; included_in_primary_analysis; missing_reason; source_record; animal_identity_note	mouse x day	6/group	mixed-effects for longitudinal endpoints; equal-variance two-sided t test for two-group endpoints	family-wise BH for endpoint families	Frozen final revision source data	Not recoverable; public mouse-level source data	No	
Figure 8	C	data_public/figure_source_data/Figure8/spleen_mouse_level.csv	panel; mouse_id; group; endpoint; value; unit; included_in_analysis; missing_reason; source_record; animal_identity_note	mouse	6/group	mixed-effects for longitudinal endpoints; equal-variance two-sided t test for two-group endpoints	family-wise BH for endpoint families	Frozen final revision source data	Not recoverable; public mouse-level source data	No	
Figure 8	D	data_public/figure_source_data/Figure8/colon_length_mouse_level.csv	panel; mouse_id; group; endpoint; value; unit; included_in_analysis; missing_reason; source_record; animal_identity_note	mouse	6/group	mixed-effects for longitudinal endpoints; equal-variance two-sided t test for two-group endpoints	family-wise BH for endpoint families	Frozen final revision source data	Not recoverable; public mouse-level source data	No	
Figure 8	E	data_public/figure_source_data/Figure8/histology_mouse_level.csv	panel; mouse_id; group; endpoint; value; unit; included_in_analysis; missing_reason; source_record; animal_identity_note	mouse	6/group	mixed-effects for longitudinal endpoints; equal-variance two-sided t test for two-group endpoints	family-wise BH for endpoint families	Frozen final revision source data	Not recoverable; public mouse-level source data	No	
Figure 8	F-J	data_public/figure_source_data/Figure8/blood_mouse_level.csv	panel; mouse_id; group; endpoint; value; unit; included_in_analysis; missing_reason; source_record; animal_identity_note	mouse	6/group	mixed-effects for longitudinal endpoints; equal-variance two-sided t test for two-group endpoints	family-wise BH for endpoint families	Frozen final revision source data	Not recoverable; public mouse-level source data	No	
Figure 8	K-O	data_public/figure_source_data/Figure8/cytokine_mouse_level.csv	panel; mouse_id; group; endpoint; value; unit; included_in_analysis; missing_reason; source_record; animal_identity_note	mouse	6/group	mixed-effects for longitudinal endpoints; equal-variance two-sided t test for two-group endpoints	family-wise BH for endpoint families	Frozen final revision source data	Not recoverable; public mouse-level source data	No	
Figure 8	P	data_public/figure_source_data/Figure8/barrier_IHC_mouse_level.csv	panel; mouse_id; group; endpoint; value; unit; included_in_analysis; missing_reason; source_record; animal_identity_note; statistical_unit; selection_status; aggregation_rule	mouse	3/group	mixed-effects for longitudinal endpoints; equal-variance two-sided t test for two-group endpoints	family-wise BH for endpoint families	Frozen final revision source data	Not recoverable; public mouse-level source data	No	
Figure 9	A-D	data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv	panel; mouse_id; group; endpoint; value; unit; included_in_analysis; missing_reason; source_record; animal_identity_note; statistical_unit; selection_status; aggregation_rule	mouse	3/group	two-sided equal-variance t test	BH within panel family	Frozen final revision source data	Not recoverable; public mouse-level source data	No	FOVs averaged within mouse
Figure S1	A-B	data_public/figure_source_data/Supplementary_Figures/four_cohort_effect_sizes.csv	dataset; n_Healthy; n_UC; Hedges_g; SE; CI_low; CI_high; cohort_weight_percent	donor	as documented	as documented in final manuscript/table	as supplied	Frozen final revision source data	See main-stage scripts	Partially; public large matrices must be downloaded	
Figure S2	A-B	data_public/figure_source_data/Figure2/GART_donor_fraction.csv	cohort; condition; donor_id; detection_fraction	donor	as documented	as documented in final manuscript/table	as supplied	Frozen final revision source data	See main-stage scripts	Partially; public large matrices must be downloaded	
Figure S3	A-B	data_public/figure_source_data/Figure3/primary_module_mixed_models.csv	analysis; random_structure; term; estimate; SE; CI_low; CI_high; P; OR; OR_CI_low; OR_CI_high; n_cells; n_donors; isSingular; convergence_warning; donor_variance; sample_variance; residual_variance; FDR	donor	as documented	as documented in final manuscript/table	as supplied	Frozen final revision source data	See main-stage scripts	Partially; public large matrices must be downloaded	
Figure S4	A	data_public/figure_source_data/Figure4/pseudotime_cell_plot_data.csv	cell_id; UMAP1; UMAP2; GART_status; donor_id; cohort; condition; pseudotime_independent_root; pseudotime_no_GART_no_cell_cycle	donor	as documented	as documented in final manuscript/table	as supplied	Frozen final revision source data	See main-stage scripts	Partially; public large matrices must be downloaded	
Figure S5	A-B	data_public/figure_source_data/Figure6/GSE189184_primary_spot_source_data.csv	spot_id; section_id; donor_id; condition; array_row; array_col; pixel_row; pixel_col; GART_expression; GART_count; GART_detected; epithelial_score; epithelial_percentile; inside_locked_primary_ROI; external_program_score; MYBL2; PCNA; PAICS; MCM7; GINS2; MIF; CD74	donor	as documented	as documented in final manuscript/table	as supplied	Frozen final revision source data	See main-stage scripts	Partially; public large matrices must be downloaded	
Figure S6	A-D	data_public/figure_source_data/Figure9/IF_mouse_level_source_data.csv	panel; mouse_id; group; endpoint; value; unit; included_in_analysis; missing_reason; source_record; animal_identity_note; statistical_unit; selection_status; aggregation_rule	mouse	as documented	as documented in final manuscript/table	as supplied	Frozen final revision source data	See main-stage scripts	Partially; public large matrices must be downloaded	
